clubLabel,venueLabel,coordinates,countryLabel
Marsa FC,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Ghaxaq F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Qrendi F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Mdina Knights F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Luqa St. Andrew's F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Senglea Athletic F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Swieqi United F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Xghajra Tornadoes F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Msida Saint-Joseph F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
St. George's F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Żurrieq F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Valletta F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Balzan F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Gżira United F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Lija Athletic F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Qormi F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Pietà Hotspurs F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Floriana F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
Birkirkara F.C.,Ta' Qali National Stadium,Point(14.415372222 35.894863888),Malta
TSV Schwaben Augsburg,Q1357112,Point(10.9083 48.3428),Germany
FC Eintracht Bamberg,Fuchs-Park-Stadion,Point(10.9289 49.9006),Germany
S.C. Corinthians Paulista,Arena Corinthians,Point(-46.474 -23.545555555),Brazil
Sanfrecce Hiroshima,Hiroshima Big Arch,Point(132.39425 34.440778),Japan
Avispa Fukuoka,Level-5 Stadium,Point(130.460625 33.585888),Japan
Q13099539,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Andorra
Q28205532,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Andorra
ECCO City Green,Francistown Stadium,Point(27.498565 -21.160261),Botswana
TASC FC,Francistown Stadium,Point(27.498565 -21.160261),Botswana
TAFIC F.C.,Francistown Stadium,Point(27.498565 -21.160261),Botswana
Great North Tigers F.C.,Francistown Stadium,Point(27.498565 -21.160261),Botswana
HŠK Zrinjski Mostar,Stadion pod Bijelim Brijegom,Point(17.795278 43.345556),Bosnia and Herzegovina
Monmouth Town F.C.,"Chippenham Park, Monmouth",Point(-2.71532 51.8087),United Kingdom
A.S. Saint-Étienne,Stade Geoffroy-Guichard,Point(4.39 45.460833),France
NK Čelik Zenica,Bilino Polje,Point(17.907083 44.20575),Bosnia and Herzegovina
Miami Hurricanes,Hard Rock Stadium,Point(-80.238888888 25.958055555),United States of America
Delhi Dynamos FC,Jawaharlal Nehru Stadium,Point(77.23438 28.582873),India
Lyn Fotball,Bislett Stadion,Point(10.733333 59.924722),Norway
Skeid Fotball,Bislett Stadion,Point(10.733333 59.924722),Norway
Malmö FF,Swedbank Stadion,Point(12.987777777 55.583611111),Sweden
Cardiff City F.C.,Cardiff City Stadium,Point(-3.203056 51.472778),United Kingdom
Neuchâtel Xamax,Stade de la Maladière,Point(6.944 46.9952),Switzerland
Neuchâtel Xamax,Stade de la Maladière,Point(6.944 46.9952),Switzerland
Blackpool F.C.,Bloomfield Road,Point(-3.048056 53.804722),United Kingdom
South Shore F.C.,Bloomfield Road,Point(-3.048056 53.804722),United Kingdom
FC Admira Wacker Mödling,Bundesstadion Südstadt,Point(16.3109 48.0976),Austria
FC Admira Wacker Mödling Amateure,Bundesstadion Südstadt,Point(16.3109 48.0976),Austria
VfR Aalen,Scholz-Arena,Point(10.072222 48.840556),Germany
Holstein Kiel,Holstein-Stadion,Point(10.123611 54.349167),Germany
SC Wiener Neustadt,Stadion Wiener Neustadt,Point(16.255278 47.822778),Austria
Tai Po FC,Tai Po Sports Ground,Point(114.162 22.4554),People's Republic of China
SV Darmstadt 98,Stadion am Böllenfalltor,Point(8.672222 49.857778),Germany
Wuppertaler SV,Stadion am Zoo,Point(7.105083 51.239083),Germany
VfL Halle 1896,Stadion am Zoo,Point(7.105083 51.239083),Germany
SG Wattenscheid 09,Lohrheidestadion,Point(7.118611 51.485556),Germany
VfL Bochum II,Lohrheidestadion,Point(7.118611 51.485556),Germany
Tennis Borussia Berlin,Mommsenstadion,Point(13.264167 52.500833),Germany
Ideal SC,Blakes Estate Stadium,Point(-62.18632222 16.78386389),United Kingdom
Royal Montserrat Police Force FC,Blakes Estate Stadium,Point(-62.18632222 16.78386389),United Kingdom
FC Saint John's,Blakes Estate Stadium,Point(-62.18632222 16.78386389),United Kingdom
P.C. United FC,Blakes Estate Stadium,Point(-62.18632222 16.78386389),United Kingdom
Sportfreunde Siegen,Leimbachstadion,Point(8.026111 50.852222),Germany
SV Eintracht Trier 05,Moselstadion,Point(6.647778 49.768056),Germany
Rochester Lancers,Blue Cross Arena,Point(-77.610833333 43.153888888),United States of America
Esbjerg fB,Blue Water Arena,Point(8.439444 55.481944),Denmark
ZFC Meuselwitz,Q885979,Point(12.2831 51.0536),Germany
Finance and Revenue FC,Bogyoke Aung San Stadium,Point(96.160725 16.783861),Myanmar
Finance and Revenue FC,Bogyoke Aung San Stadium,Point(96.160725 16.783861),Rangoon
Gaborone United S.C.,Botswana National Stadium,Point(25.932892 -24.6568),Botswana
Township Rollers F.C.,Botswana National Stadium,Point(25.932892 -24.6568),Botswana
Notwane F.C.,Botswana National Stadium,Point(25.932892 -24.6568),Botswana
Police XI,Botswana National Stadium,Point(25.932892 -24.6568),Botswana
Oldham Athletic A.F.C.,Boundary Park,Point(-2.128611111 53.555277777),United Kingdom
Alpha United FC,Bourda,Point(-58.149872222 6.808166666),Guyana
Augustinians FC,Box Bar Stadium,Point(-16.58166667 13.45638889),Gambia
Brikama United,Box Bar Stadium,Point(-16.58166667 13.45638889),Gambia
Interior FC,Box Bar Stadium,Point(-16.58166667 13.45638889),Gambia
Banjul United FC,Box Bar Stadium,Point(-16.58166667 13.45638889),Gambia
Sheffield United F.C.,Bramall Lane,Point(-1.470833333 53.370277777),United Kingdom
Derry City F.C.,Brandywell Stadium,Point(-7.336 54.990633),Northern Ireland
Derry Olympic F.C.,Brandywell Stadium,Point(-7.336 54.990633),Northern Ireland
St Columb's Court F.C.,Brandywell Stadium,Point(-7.336 54.990633),Northern Ireland
SK Brann,Brann Stadion,Point(5.356944444 60.366388888),Norway
Diósgyőri VTK,DVTK Stadion,Point(20.717222 48.099444),Hungary
Olympique Lillois,Stade Victor Boucquey,Point(3.036111 50.6375),France
"MOL Vidi Football Club,",Sóstói Stadion,Point(18.41536111 47.17369444),Hungary
"MOL Vidi Football Club,",Sóstói Stadion,Point(18.415436 47.173765),Hungary
F.K. Sarajevo,Asim Ferhatović Hase Stadium,Point(18.408611111 43.873888888),Bosnia and Herzegovina
Millwall F.C.,The Den,Point(-0.050833 51.485833),United Kingdom
Clube Atlético Mineiro,Estádio Independência,Point(-43.917778 -19.908333),Brazil
América Futebol Clube (MG),Estádio Independência,Point(-43.917778 -19.908333),Brazil
Dyskobolia Grodzisk Wielkopolski,Dyskobolia Stadium,Point(16.378128 52.229031),Poland
Cruzeiro E.C.,Mineirão,Point(-43.970833 -19.865833),Brazil
C.D. Green Cross,Estadio Municipal Germán Becker,Point(-72.619722 -38.742778),Chile
SV Wiesbaden,Helmut-Schön-Sportpark,Point(8.25719 50.0697),Germany
Samsunspor,Samsun 19 Mayıs Stadium,Point(36.356122 41.270014),Turkey
Leyton Orient F.C.,Brisbane Road,Point(-0.012639 51.560139),United Kingdom
Real Sociedad,Anoeta Stadium,Point(-1.973617 43.301378),Spain
CD Condal,Camp de Les Corts,Point(2.135556 41.385833),Spain
Viktoria Stolp,Eilenriedestadion,Point(9.7729 52.3766),Germany
Étoile Sportive du Sahel,Stade Olympique de Sousse,Point(10.612778 35.823333),Tunisia
Clyde F.C.,Broadwood Stadium,Point(-4.03709 55.9448),United Kingdom
Atlético Clube Goianiense,Estádio Serra Dourada,Point(-49.233889 -16.698889),Brazil
Goiás Esporte Clube,Estádio Serra Dourada,Point(-49.233889 -16.698889),Brazil
CP Mérida,Estadio Romano,Point(-6.336406 38.913933),Spain
Mérida UD,Estadio Romano,Point(-6.336406 38.913933),Spain
K.R.C. Genk,Cristal Arena,Point(5.533333 51.005),Belgium
K. Waterschei S.V. Thor Genk,Cristal Arena,Point(5.533333 51.005),Belgium
San Luis F.C.,Estadio Alfonso Lastras,Point(-100.950864 22.138706),Mexico
US Raon-l'Étape,Q925932,Point(6.83055556 48.41611111),France
Adelaide United Football Club,Hindmarsh Stadium,Point(138.568889 -34.9075),Australia
FK Jezero,Stadion Pod Racinom,Point(19.9402 42.5988),Montenegro
Legia Warsaw,Polish Army Stadium,Point(21.040628 52.220461),Poland
Getafe CF,Coliseum Alfonso Pérez,Point(-3.714722 40.325556),Spain
Guangzhou Evergrande Taobao Football Club,Tianhe Stadium,Point(113.324661 23.138031),People's Republic of China
Sporting Gijón,El Molinón-Enrique Castro Quini,Point(-5.637222 43.536111),Spain
FK Dinamo Samarqand,Dynamo Samarkand Stadium,Point(66.96572 39.671785),Uzbekistan
CD Universidad San Martín,Estadio Alberto Gallardo,Point(-77.045 -12.038),Peru
Sporting Cristal,Estadio Alberto Gallardo,Point(-77.045 -12.038),Peru
Olympiakos Volou 1937 F.C.,Panthessaliko Stadium,Point(22.931067 39.387511),Greece
FC Barcelona Hoquei,Palau Blaugrana,Point(2.12005 41.380081),Spain
FK Mladá Boleslav,Městský stadion,Point(14.914783 50.427083),Czech Republic
Ljungskile SK,Markbygg Arena,Point(11.94388889 58.21666667),Sweden
Sakaryaspor,Sakarya Atatürk Stadium,Point(30.386558 40.777014),Turkey
JEF Reserves,Ichihara Seaside Stadium,Point(140.071639 35.527974),Japan
FC Hoyvík,Gundadalur,Point(-6.7811394 62.0193487),Faroe Islands
İstanbul Başakşehir FC,Atatürk Olympic Stadium,Point(28.765702777 41.074472222),Turkey
Altınordu İdman Yurdu SK,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Black Stockings FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Cadi-Keuy FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Elpis FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
HMS Imogene FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Hilal SK,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Fenerbahçe Football,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Moda FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Rumblers FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Telefoncular FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
U.S. Cremonese,Stadio Giovanni Zini,Point(10.034722 45.140278),Italy
GC Mascara,Stade de l'Unité Africaine,Point(0.159444 35.388056),Algeria
UP Langreo,Estadio Ganzábal,Point(-5.68984167 43.30197222),Spain
CP La Felguera,Estadio Ganzábal,Point(-5.68984167 43.30197222),Spain
Moreirense F.C.,Parque de Jogos Comendador Joaquim de Almeida Freitas,Point(-8.354761 41.378089),Portugal
FC Dynamo Makhachkala,Dynamo Stadium,Point(47.50720556 42.97982222),Russia
Göztepe S.K.,İzmir Atatürk Stadium,Point(27.178055555 38.435),Turkey
Tegevajaro Miyazaki,Nobeoka Nishishina Athletic Stadium,Point(131.640556 32.570556),Japan
San Jose Grizzlies,SAP Center,Point(-121.901111111 37.332777777),United States of America
Portland Timbers,Providence Park,Point(-122.691666666 45.521388888),United States of America
Portland Timbers,Providence Park,Point(-122.691666666 45.521388888),United States of America
Portland Timbers,Providence Park,Point(-122.691666666 45.521388888),United States of America
Portland Timbers U23s,Providence Park,Point(-122.691666666 45.521388888),United States of America
Portland Timbers Reserves,Providence Park,Point(-122.691666666 45.521388888),United States of America
FC Sopron,Stadion Városi,Point(16.583691 47.69171),Hungary
Soproni VSE,Stadion Városi,Point(16.583691 47.69171),Hungary
Gimnasia y Tiro,Estadio El Gigante del Norte,Point(-65.403889 -24.783333),Argentina
FC Alania-d Vladikavkaz,Republican Spartak Stadium,Point(44.695 43.023056),Russia
K.S.V. Roeselare,Schiervelde Stadion,Point(3.10527778 50.95194444),Belgium
Q869716,Jahnstadion,Point(6.451278 51.174667),Germany
F.C. Porto,Estádio do Dragão.  Estadio. Stadium,Point(-8.583933 41.161758),Portugal
U.C. Sampdoria,Stadio Luigi Ferraris,Point(8.952428 44.416431),Italy
Genoa C.F.C.,Stadio Luigi Ferraris,Point(8.952428 44.416431),Italy
Società Ginnastica Comunale Sampierdarenese,Stadio Luigi Ferraris,Point(8.952428 44.416431),Italy
Sevilla FC,Estadio Ramón Sánchez Pizjuán,Point(-5.970467 37.383878),Spain
RCD Mallorca,Son Moix,Point(2.63 39.59),Spain
Club Atlético River Plate,Estadio Monumental Antonio Vespucio Liberti,Point(-58.449444 -34.545278),Argentina
S.S. Juve Stabia,Stadio Romeo Menti,Point(14.494444 40.706667),Italy
S.S.C. Gragnano,Stadio Romeo Menti,Point(14.494444 40.706667),Italy
St. Patrick F.C.,Il-Foss,Point(14.529833333 35.879166666),Malta
Islanders FC,A.O. Shirley Recreation Ground,Point(-64.620915 18.426232),British Virgin Islands
One Love United FC,A.O. Shirley Recreation Ground,Point(-64.620915 18.426232),British Virgin Islands
Woules FC,A.O. Shirley Recreation Ground,Point(-64.620915 18.426232),British Virgin Islands
FC Flora Tallinn,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
FC Flora II Tallinn,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
JK Piraaja Tallinn,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
FC Ararat Tallinn,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
FCF Tallinna Ülikool,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
FC Flora III Tallinn,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
Tallinna FC Castovanni Eagles,A. Le Coq Arena,Point(24.73205 59.421292),Estonia
AS Moulins,Hector-Rolland Stadium,Point(3.32055556 46.57),France
Melbourne Hakoah,Middle Park,Point(144.971337 -37.852899),Australia
C.A. Huracán,Estadio Tomás Adolfo Ducó,Point(-58.396511 -34.643494),Argentina
Xanthi F.C.,Skoda Xanthi Arena,Point(24.949372 41.121344),Greece
Q942928,Q280889,Point(2.038206 41.340278),Spain
FC Hjørring,Hjørring Stadium,Point(9.9984598 57.4577062),Denmark
Vendsyssel FF,Hjørring Stadium,Point(9.9984598 57.4577062),Denmark
NK Međimurje,Stadion SRC Mladost,Point(16.422307 46.391531),Croatia
NK Čakovec,Stadion SRC Mladost,Point(16.422307 46.391531),Croatia
Club Colonial,Stade Pierre-Aliker,Point(-61.04620556 14.60333056),France
Good Luck,Stade Pierre-Aliker,Point(-61.04620556 14.60333056),France
FC La Chaux-de-Fonds,Centre Sportif de la Charrière,Point(6.836111 47.111389),Switzerland
FC Zorya Luhansk,Avanhard Stadium,Point(39.321111 48.559444),Ukraine
Al Jazira Club,Mohammed Bin Zayed Stadium,Point(54.392019 24.452764),United Arab Emirates
Montreal Manic,Olympic Stadium of Montreal,Point(-73.551944444 45.557777777),Canada
Al-Wakrah Sports Club,Al-Wakrah Stadium,Point(51.596522 25.180294),Qatar
Al-Wahda S.C.C.,Al Nahyan Stadium,Point(54.375252777 24.469397222),United Arab Emirates
Al-Shorta Baghdad,Al-Shaab Stadium,Point(44.435278 33.324861),Iraq
Al-Hilal Club,(استاد الهلال(الجوهرة الزرقاء,Point(32.475 15.64722222),Sudan
Sporting Clube de Portugal,Estádio José Alvalade,Point(-9.160783333 38.761194444),Portugal
Sporting Clube de Portugal B,Estádio José Alvalade,Point(-9.160783333 38.761194444),Portugal
Al-Khor Sports Club,Al-Khawr Stadium,Point(51.492631 25.679406),Qatar
Al Kharaitiyat SC,Al-Khawr Stadium,Point(51.492631 25.679406),Qatar
Asante Kotoko F.C.,Baba Yara Stadium,Point(-1.605111 6.682681),Ghana
King Faisal Babes,Baba Yara Stadium,Point(-1.605111 6.682681),Ghana
BA Stars,Baba Yara Stadium,Point(-1.605111 6.682681),Ghana
F.B.C. Torinese,Velodrome Humbert I,Point(7.66028 45.0569),Italy
FC Energie Cottbus,Stadion der Freundschaft,Point(14.345556 51.751389),Germany
FC Dinamo Tbilisi,Dinamo Arena,Point(44.78975 41.723),Georgia
AZ Alkmaar,AFAS Stadion,Point(4.741667 52.6125),Netherlands
FC Wil 1900,kybunpark,Point(9.306389 47.408333),Switzerland
FC St. Gallen,kybunpark,Point(9.306389 47.408333),Switzerland
Hønefoss BK,AKA Arena,Point(10.265368 60.159119),Norway
Halmstads BK,Örjans Vall,Point(12.866388888 56.684166666),Sweden
IS Halmia,Örjans Vall,Point(12.866388888 56.684166666),Sweden
Oud-Heverlee Leuven,Den Dreef,Point(4.694167 50.868333),Belgium
Mexico Toros,Palacio de los Deportes,Point(-99.099722 19.405278),Mexico
PFC Beroe Stara Zagora,Beroe Stadium,Point(25.615278 42.432778),Bulgaria
2017–18 PFC Beroe Stara Zagora season,Beroe Stadium,Point(25.615278 42.432778),Bulgaria
FC Levadia Tallinn,Kadriorg Stadium,Point(24.783444444 59.434472222),Estonia
FC TVMK Tallinn,Kadriorg Stadium,Point(24.783444444 59.434472222),Estonia
JS Estonia Tallinn,Kadriorg Stadium,Point(24.783444444 59.434472222),Estonia
Al-Wahda SC Damascus,Abbasiyyin Stadium,Point(36.298333333 33.528333333),Syria
Al-Majd Damascus,Abbasiyyin Stadium,Point(36.298333333 33.528333333),Syria
Al-Jaish SC,Abbasiyyin Stadium,Point(36.298333333 33.528333333),Syria
Al-Shorta SC,Abbasiyyin Stadium,Point(36.298333333 33.528333333),Syria
Fulham F.C.,Craven Cottage,Point(-0.221666666 51.475),United Kingdom
F.C. Bari 1908,Stadio San Nicola,Point(16.840072 41.084736),Italy
Leicester City F.C. Under-23s and Academy,King Power Stadium,Point(-1.142222222 52.620277777),United Kingdom
Gamba Osaka U-23,Osaka Expo '70 Stadium,Point(135.5425 34.810278),Japan
Panathinaikos F.C.,Apostolos Nikolaidis Stadium,Point(23.754194444 37.987169444),Greece
Al Ittihad Alexandria Club,Alexandria Stadium,Point(29.9132 31.1971),Egypt
El-Olympi,Alexandria Stadium,Point(29.9132 31.1971),Egypt
Smouha Sporting Club,Alexandria Stadium,Point(29.9132 31.1971),Egypt
Koroum,Alexandria Stadium,Point(29.9132 31.1971),Egypt
Norrby IF,Borås Arena,Point(12.934334 57.73457),Sweden
Mariedals IK,Borås Arena,Point(12.934334 57.73457),Sweden
Beijing Guoan F.C.,Workers Stadium,Point(116.441139 39.929528),People's Republic of China
Esteghlal Rasht F.C.,Shahid Dr. Azodi Stadium,Point(49.589072 37.264627),Iran
Sepidrood Rasht F.C.,Shahid Dr. Azodi Stadium,Point(49.589072 37.264627),Iran
Pegah F.C.,Shahid Dr. Azodi Stadium,Point(49.589072 37.264627),Iran
Borussia Dortmund II,Stadion Rote Erde,Point(7.454444 51.4925),Germany
Deportes Temuco,Estadio Regional de Antofagasta,Point(-70.40458333 -23.67013889),Chile
Q5774157,Estadio Regional de Antofagasta,Point(-70.40458333 -23.67013889),Chile
FC Bern 1894,Stadion Neufeld,Point(7.43127 46.9609),Switzerland
FC Villa Clara,Estadio Augusto César Sandino,Point(-79.955 22.404167),Cuba
Lernayin Artsakh Stepanakert,Stepanakert Stadium,Point(46.753056 39.821111),Azerbaijan
Kecskeméti TE,Széktói Stadion,Point(19.668889 46.901389),Hungary
HIF Akademi,Olympia,Point(12.706944444 56.049444444),Sweden
Los Angeles Lazers,The Forum,Point(-118.341944444 33.958055555),United States of America
FC Libourne-Saint-Seurin,Stade Jean-Antoine Moueix,Point(-0.234253 44.907354),France
Atlanta Chiefs,Atlanta-Fulton County Stadium,Point(-84.38944444 33.73944444),United States of America
Cuiabá Esporte Clube,Arena Pantanal,Point(-56.120556 -15.603056),Brazil
Olímpico Clube,Arena Amazônia,Point(-60.028056 -3.083056),Brazil
Hapoel Rishon LeZion F.C.,Haberfeld Stadium,Point(34.752839 31.974994),Israel
Sheffield Wednesday F.C. Academy,Hillsborough Stadium,Point(-1.500555555 53.411388888),United Kingdom
Club 2 de Mayo,Monumental Río Parapití,Point(-55.745556 -22.539167),Paraguay
Ciudad de Murcia,Estadio de La Condomina,Point(-1.121389 37.986111),Spain
Brisbane Roar FC,Brisbane Stadium,Point(153.009444444 -27.464722222),Australia
FC Eindhoven,Jan Louwers Stadion,Point(5.479444 51.411667),Netherlands
SC Schwarz-Weiß Bregenz,Casino Stadium,Point(9.73478 47.5034),Austria
S.C. Farense,Estádio Algarve,Point(-7.974722 37.088333),Portugal
Polisportiva Nuovo Campobasso Calcio,Stadio Nuovo Romagnoli,Point(14.630833 41.57),Italy
Monagas Sport Club,Estadio Monumental de Maturín,Point(-63.224258 9.71684),Venezuela
COD United Amazons F.C.,Teslim Balogun Stadium,Point(3.36083 6.49944),Nigeria
Persepolis F.C.,Azadi Stadium,Point(51.275528 35.724417),Iran
Esteghlal F.C.,Azadi Stadium,Point(51.275528 35.724417),Iran
Huelva,Estadio Nuevo Colombino,Point(-6.954167 37.246389),Spain
Grêmio Foot-Ball Porto Alegrense,Arena do Grêmio,Point(-51.194403 -29.973444),Brazil
Türkiyemspor Berlin,Friedrich-Ludwig-Jahn-Sportpark,Point(13.405278 52.543056),Germany
SV Waldhof Mannheim,Carl-Benz-Stadion,Point(8.5025 49.479444),Germany
FC Amkar Perm,Zvezda,Point(56.244636 57.990694),Russia
FC Zvezda Perm,Zvezda,Point(56.244636 57.990694),Russia
FC Oktan Perm,Zvezda,Point(56.244636 57.990694),Russia
Everton de Viña del Mar,Estadio Sausalito,Point(-71.535233 -33.014397),Chile
Everton de Viña del Mar,Estadio Sausalito,Point(-71.535233 -33.014397),Chile
PFC Minyor Pernik,Minyor Stadium,Point(23.023333 42.606667),Bulgaria
Eintracht Braunschweig,Eintracht-Stadion,Point(10.521389 52.29),Germany
FC Stade Nyonnais,Centre sportif de Colovray,Point(6.226201 46.370711),Switzerland
FC Chiasso,Stadio comunale Riva IV,Point(9.016686 45.834089),Switzerland
FC Locarno,Stadio del Lido,Point(8.801544 46.162687),Switzerland
Club Deportivo Guadalajara,Estadio Akron,Point(-103.462778 20.681667),Mexico
Cruz Azul F.C,Estadio Akron,Point(-103.462778 20.681667),Mexico
FC Aarau,Stadion Brügglifeld,Point(8.06 47.383333),Switzerland
Sparta Rotterdam,Sparta Stadion Het Kasteel,Point(4.433333 51.919444),Netherlands
Anadolu Selçukluspor,Konya Atatürk Stadium,Point(32.483278 37.865389),Turkey
Konyaspor,Konya Atatürk Stadium,Point(32.483278 37.865389),Turkey
Q4724307,Konya Atatürk Stadium,Point(32.483278 37.865389),Turkey
FC Lausanne-Sport,Stade Olympique de la Pontaise,Point(6.625 46.534),Switzerland
Foligno Calcio,Stadio Enzo Blasone,Point(12.691667 42.953333),Italy
FC Sion,Stade Tourbillon,Point(7.376389 46.233333),Switzerland
FC Arsenal Kyiv,Valeriy Lobanovskyi Dynamo Stadium,Point(30.535178 50.450435),Ukraine
Amiens AC,Stade Jean-Bouin,Point(2.252936 48.84332),France
Évreux FC,Stade Jean-Bouin,Point(2.252936 48.84332),France
Arizona Thunder,Arizona Veterans Memorial Coliseum,Point(-112.096667 33.469444),United States of America
FC Lugano,Cornaredo Stadium,Point(8.961667 46.023611),Switzerland
Kapfenberger SV,Franz Fekete Stadium,Point(15.3006 47.4439),Austria
Pécsi MFC,Stadion PMFC,Point(18.1959 46.0685),Hungary
Bridge Boys F.C.,Onikan Stadium,Point(3.40219444 6.44247222),Nigeria
Stationery Stores F.C.,Onikan Stadium,Point(3.40219444 6.44247222),Nigeria
ACB Lagos,Onikan Stadium,Point(3.40219444 6.44247222),Nigeria
Enyimba International F.C.,Enyimba International Stadium,Point(7.37583333 5.10194444),Nigeria
Bendel Insurance F.C.,Samuel Ogbemudia Stadium,Point(5.611944 6.398611),Nigeria
New York Skyliners,Yankee Stadium,Point(-73.928055555 40.826944444),United States of America
New York Generals,Yankee Stadium,Point(-73.928055555 40.826944444),United States of America
Heartland F.C.,Dan Anyiam Stadium,Point(7.043889 5.483889),Nigeria
FC Hirnyk Kryvyi Rih,Metalurh Stadium,Point(33.392462 47.895118),Ukraine
FC Kryvbas Kryvyi Rih,Metalurh Stadium,Point(33.392462 47.895118),Ukraine
Quilmes Atletic Club,Estadio Centenario Ciudad de Quilmes,Point(-58.251889 -34.741778),Argentina
Sharks F.C.,Sharks Stadium,Point(7.02194 4.76556),Nigeria
Yverdon-Sport FC,Stade Municipal,Point(6.647056 46.783297),Switzerland
FC Yverdon Féminin,Stade Municipal,Point(6.647056 46.783297),Switzerland
K.S.C. Lokeren Oost-Vlaanderen,Daknamstadion,Point(3.987222 51.116389),Belgium
ASKÖ Pasching,Waldstadion,Point(14.226667 48.235556),Austria
FC Juniors OÖ,Waldstadion,Point(14.226667 48.235556),Austria
Club Sol de América,Estadio Luis Alfonso Giagni,Point(-57.63888889 -25.29747222),Paraguay
Club 12 de Octubre,Estadio Juan Canuto Pettengill,Point(-57.34069444 -25.39591667),Paraguay
Vålerenga Fotball,Ullevaal Stadion,Point(10.734333333 59.949),Norway
SC Kriens,Stadion Kleinfeld,Point(8.287797 47.029836),Switzerland
FC Schaffhausen,Stadion Breite,Point(8.62583 47.7042),Switzerland
Cobreloa,Estadio Municipal de Calama,Point(-68.920556 -22.460278),Chile
Burnley F.C.,Turf Moor,Point(-2.230225 53.789064),United Kingdom
C.C.D. Arturo Fernández Vial,Estadio Ester Roa Rebolledo,Point(-73.023333 -36.815278),Chile
C.D. Universidad de Concepción,Estadio Ester Roa Rebolledo,Point(-73.023333 -36.815278),Chile
Club Deportes Concepción,Estadio Ester Roa Rebolledo,Point(-73.023333 -36.815278),Chile
Q2837465,Estadio Ester Roa Rebolledo,Point(-73.023333 -36.815278),Chile
Club Deportivo Ñublense,Estadio Municipal Nelson Oyarzún Arenas,Point(-72.1075 -36.618056),Chile
Audax Italiano,Estadio Bicentenario de La Florida,Point(-70.578333 -33.540833),Chile
Dundalk F.C.,Oriel Park,Point(-6.416917 53.998944),Ireland
Q3076600,Stade Joseph-Moynat,Point(6.46777778 46.365),France
Olympique Thonon Chablais,Stade Joseph-Moynat,Point(6.46777778 46.365),France
Budapest Honvéd FC,Bozsik Stadion,Point(19.155103 47.4425),Hungary
Budapest Honvéd FC II,Bozsik Stadion,Point(19.155103 47.4425),Hungary
Al-Salmiya SC,Thamir Stadium,Point(48.088333333 29.340833333),Kuwait
Randers FC,AutoC Park Randers,Point(10.01027778 56.46583333),Denmark
Deutscher Fussball Klub,Estadio Gran Parque Central,Point(-56.1588 -34.884373),Uruguay
Club Nacional de Football,Estadio Gran Parque Central,Point(-56.1588 -34.884373),Uruguay
Albion F.C.,Estadio Gran Parque Central,Point(-56.1588 -34.884373),Uruguay
Club Nacional de Football (women),Estadio Gran Parque Central,Point(-56.1588 -34.884373),Uruguay
East Bengal F.C.,Vivekananda Yuva Bharati Krirangan,Point(88.409167 22.568889),India
Mohun Bagan A.C.,Vivekananda Yuva Bharati Krirangan,Point(88.409167 22.568889),India
